@relation popvnews500

@attribute first_person_pronouns numeric
@attribute second_person_pronouns numeric
@attribute third_person_pronouns numeric
@attribute coord_conj numeric
@attribute past_tense_verb numeric
@attribute future_tense_verb numeric
@attribute commas_num numeric
@attribute colons_and_semi_colons numeric
@attribute dash_num numeric
@attribute paren_num numeric
@attribute ellipses_num numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverb_num numeric
@attribute whwords_num numeric
@attribute slang_num numeric
@attribute all_in_upper_case_num numeric
@attribute avg_len_of_sentense numeric
@attribute avg_len_of_tokens numeric
@attribute num_of_sentense numeric
@attribute class {pop,news}

@data
2, 3, 0, 1, 0, 0, 1, 0, 0, 0, 1, 7, 0, 2, 0, 0, 0, 8.0, 3.6153846153846154, 4,pop
2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 1, 0, 0, 1, 0, 6.5, 4.2, 2,pop
1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8, 1, 0, 0, 1, 0, 11.0, 4.05, 2,pop
0, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 8, 0, 0, 0, 0, 0, 10.0, 4.647058823529412, 2,pop
1, 2, 0, 0, 2, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 9.0, 4.291666666666667, 3,pop
1, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 12, 1, 5, 1, 1, 0, 12.333333333333334, 3.40625, 3,pop
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 4.0, 6.142857142857143, 2,pop
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 3.0, 3.5, 1,pop
4, 1, 0, 1, 1, 0, 0, 0, 0, 0, 4, 8, 2, 1, 0, 1, 0, 7.75, 3.3870967741935485, 4,pop
1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 8, 0, 0, 2, 0, 0, 8.333333333333334, 4.086956521739131, 3,pop
3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 6.333333333333333, 3.75, 3,pop
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 7, 0, 1, 0, 0, 0, 7.0, 4.4375, 3,pop
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 3.5, 5.0, 2,pop
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 5.0, 3.5, 1,pop
1, 0, 2, 2, 0, 0, 1, 0, 0, 0, 0, 15, 3, 0, 1, 0, 0, 37.0, 3.0303030303030303, 1,pop
1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 1, 1, 0, 1, 0, 9.333333333333334, 4.625, 3,pop
1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 4, 0, 1, 0, 0, 0, 5.333333333333333, 4.4, 3,pop
3, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 8, 0, 1, 0, 1, 0, 9.666666666666666, 4.346153846153846, 3,pop
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4.666666666666667, 6.444444444444445, 3,pop
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 5.0, 4.666666666666667, 1,pop
0, 0, 1, 1, 0, 0, 1, 0, 0, 2, 0, 5, 4, 1, 0, 0, 0, 8.5, 4.125, 4,pop
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 5.0, 5.25, 2,pop
